trial_id,transcript,native_path,indian_path,A_path,B_path
0,P R S must develop the capacity to classify its subjects on a more sophisticated basis than the present geographic breakdown,gt_native/LJ050-0149.wav,gt_indian/LJ050-0149.wav,spicor_full_no_slm/LJ050-0149.wav,nat_ind/LJ050-0149.wav
1,"that they were watching the parade from the top step of the building entrance when Gloria Calverly, who works in the Depository Building",gt_native/LJ035-0134.wav,gt_indian/LJ035-0134.wav,spicor_full_no_slm/LJ035-0134.wav,nat_ind/LJ035-0134.wav
2,"at fourteen he was a pickpocket and a lduffer, or a seller of sham goods",gt_native/LJ012-0021.wav,gt_indian/LJ012-0021.wav,spicor_full_no_slm/LJ012-0021.wav,nat_ind/LJ012-0021.wav
3,"The reckless demeanour of all the convicts except Davidson was most marked Thistlewood and Ings sucked oranges on the scaffold,",gt_native/LJ010-0127_rep.wav,gt_indian/LJ010-0127_rep.wav,spicor_full_no_slm/LJ010-0127_rep.wav,nat_ind/LJ010-0127_rep.wav
4,"Although there was no mention in P R S files of the demonstration in Dallas against Ambassador Adlai Stevenson on October twenty fourth,",gt_native/LJ029-0056.wav,gt_indian/LJ029-0056.wav,spicor_full_no_slm/LJ029-0056.wav,nat_ind/LJ029-0056.wav
5,"and it was arranged that one of their number should knock at Lord Harrowby's door on the pretense of leaving a parcel,",gt_native/LJ010-0087_rep.wav,gt_indian/LJ010-0087_rep.wav,spicor_full_no_slm/LJ010-0087_rep.wav,nat_ind/LJ010-0087_rep.wav
6,"the condemned returning to the cells- the forger carried by turnkeys, the youth sobbing aloud convulsively, as a passionate child,",gt_native/LJ009-0111_rep.wav,gt_indian/LJ009-0111_rep.wav,spicor_full_no_slm/LJ009-0111_rep.wav,nat_ind/LJ009-0111_rep.wav
7,The incumbent has no technical qualifications in the area of Presidential protection,gt_native/LJ050-0014.wav,gt_indian/LJ050-0014.wav,spicor_full_no_slm/LJ050-0014.wav,nat_ind/LJ050-0014.wav
8,"Bousfield slowly drew himself up, and rested with his feet on the right side of the drop",gt_native/LJ009-0278.wav,gt_indian/LJ009-0278.wav,spicor_full_no_slm/LJ009-0278.wav,nat_ind/LJ009-0278.wav
9,"He is allowed intercourse with prostitutes who, in nine cases out of ten, have originally conduced to his ruin;",gt_native/LJ007-0150.wav,gt_indian/LJ007-0150.wav,spicor_full_no_slm/LJ007-0150.wav,nat_ind/LJ007-0150.wav
10,traced the progress of prison architecture from the days when the jail was the mere annexe of the baronial or episcopal castle,gt_native/LJ005-0054.wav,gt_indian/LJ005-0054.wav,spicor_full_no_slm/LJ005-0054.wav,nat_ind/LJ005-0054.wav
11,"That same year, when Darius Hystaspes came to the Persian throne, the Babylonians openly rebelled",gt_native/LJ028-0259.wav,gt_indian/LJ028-0259.wav,spicor_full_no_slm/LJ028-0259.wav,nat_ind/LJ028-0259.wav
12,"Attacks upon the sovereign, as I have said, became more common after the accession of the young Queen Victoria in eighteen thirty eight",gt_native/LJ010-0146_rep.wav,gt_indian/LJ010-0146_rep.wav,spicor_full_no_slm/LJ010-0146_rep.wav,nat_ind/LJ010-0146_rep.wav
13,"to serve as liaison officers with law enforcement and intelligence agencies, On the basis of the Department's review during the past several months",gt_native/LJ050-0139.wav,gt_indian/LJ050-0139.wav,spicor_full_no_slm/LJ050-0139.wav,nat_ind/LJ050-0139.wav
14,"They could not deny that the latter was the truth, and were forthwith stigmatised by Mr Chapman, Overend and Gurney's representative, as rogues",gt_native/LJ014-0340.wav,gt_indian/LJ014-0340.wav,spicor_full_no_slm/LJ014-0340.wav,nat_ind/LJ014-0340.wav
15,"water, nitrites or nitrates and various mineral substances in solution in water",gt_native/LJ026-0096.wav,gt_indian/LJ026-0096.wav,spicor_full_no_slm/LJ026-0096.wav,nat_ind/LJ026-0096.wav
16,he attempted for the first time to learn something about his family background when he went to New Orleans in April of nineteen sixty-three,gt_native/LJ043-0057_rep.wav,gt_indian/LJ043-0057_rep.wav,spicor_full_no_slm/LJ043-0057_rep.wav,nat_ind/LJ043-0057_rep.wav
17,"No judge ever condemned a man to be half perished with cold by day, or half suffocated with heat by night",gt_native/LJ004-0074.wav,gt_indian/LJ004-0074.wav,spicor_full_no_slm/LJ004-0074.wav,nat_ind/LJ004-0074.wav
18,"two The female debtors' side consisted of a court yard forty nine by sixteen feet,",gt_native/LJ002-0048_rep.wav,gt_indian/LJ002-0048_rep.wav,spicor_full_no_slm/LJ002-0048_rep.wav,nat_ind/LJ002-0048_rep.wav
19,"Christina Edmunds had resort to strychnia, the same lethal drug that Palmer used",gt_native/LJ018-0358.wav,gt_indian/LJ018-0358.wav,spicor_full_no_slm/LJ018-0358.wav,nat_ind/LJ018-0358.wav
20,"The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report",gt_native/LJ008-0280.wav,gt_indian/LJ008-0280.wav,spicor_full_no_slm/LJ008-0280.wav,nat_ind/LJ008-0280.wav
21,"The rifle was shipped from Klein's in Chicago on March twenty, nineteen sixty-three, at a time when the Oswalds were living on Neely Street.",gt_native/LJ032-0234_rep.wav,gt_indian/LJ032-0234_rep.wav,spicor_full_no_slm/LJ032-0234_rep.wav,nat_ind/LJ032-0234_rep.wav
22,It is thus clear that Oswald knew that Governor Connally was never directly concerned with his discharge,gt_native/LJ041-0121.wav,gt_indian/LJ041-0121.wav,spicor_full_no_slm/LJ041-0121.wav,nat_ind/LJ041-0121.wav
23,X rays and photographs were taken preliminarily and the pathological examination began at about eight p m,gt_native/LJ031-0209_rep.wav,gt_indian/LJ031-0209_rep.wav,spicor_full_no_slm/LJ031-0209_rep.wav,nat_ind/LJ031-0209_rep.wav
24,with the confidence that we are definitely rebuilding our political and economic system on the lines laid down by the New Deal,gt_native/LJ021-0081.wav,gt_indian/LJ021-0081.wav,spicor_full_no_slm/LJ021-0081.wav,nat_ind/LJ021-0081.wav
25,"Solomons, while waiting to appear in court, persuaded the turnkeys to take him to a public house, where all might refresh",gt_native/LJ012-0054.wav,gt_indian/LJ012-0054.wav,spicor_full_no_slm/LJ012-0054.wav,nat_ind/LJ012-0054.wav
26,"To meet his liabilities, he raised large sums on forged bills of acceptance drawn upon his mother, a woman of some means",gt_native/LJ017-0071_rep.wav,gt_indian/LJ017-0071_rep.wav,spicor_full_no_slm/LJ017-0071_rep.wav,nat_ind/LJ017-0071_rep.wav
27,"and resemblances between the constituents of animal and vegetable organisms, for which Cuvier is not responsible,",gt_native/LJ025-0090.wav,gt_indian/LJ025-0090.wav,spicor_full_no_slm/LJ025-0090.wav,nat_ind/LJ025-0090.wav
28,through the instrumentality of the democratic form of government,gt_native/LJ022-0201_rep.wav,gt_indian/LJ022-0201_rep.wav,spicor_full_no_slm/LJ022-0201_rep.wav,nat_ind/LJ022-0201_rep.wav
29,that Delarue had suffered by the hands of imaginary outraged brothers acting as the avengers of females deeply injured by him,gt_native/LJ014-0045.wav,gt_indian/LJ014-0045.wav,spicor_full_no_slm/LJ014-0045.wav,nat_ind/LJ014-0045.wav
30,"Monsieur le Maire was appealed to, and decided to leave it to the young lady, who at once abandoned Wakefield",gt_native/LJ011-0203.wav,gt_indian/LJ011-0203.wav,spicor_full_no_slm/LJ011-0203.wav,nat_ind/LJ011-0203.wav
31,"On his second release, goaded by his fancied wrongs, he began to plot a dark and dreadful revenge",gt_native/LJ010-0078.wav,gt_indian/LJ010-0078.wav,spicor_full_no_slm/LJ010-0078.wav,nat_ind/LJ010-0078.wav
32,"Articles, editorials, and letters to the editor in the Dallas Morning News and the Dallas Times Herald after September thirteen",gt_native/LJ029-0177.wav,gt_indian/LJ029-0177.wav,spicor_full_no_slm/LJ029-0177.wav,nat_ind/LJ029-0177.wav
33,"The Lords' Committee on Jails were of the same opinion, and considered the prisons under corporate or peculiar jurisdiction in a very unsatisfactory condition",gt_native/LJ005-0296.wav,gt_indian/LJ005-0296.wav,spicor_full_no_slm/LJ005-0296.wav,nat_ind/LJ005-0296.wav
34,"each was provided with an iron bedstead, and a small desk at which the condemned man might read or write",gt_native/LJ007-0201.wav,gt_indian/LJ007-0201.wav,spicor_full_no_slm/LJ007-0201.wav,nat_ind/LJ007-0201.wav
35,"the same callous indifference to the moral well-being of the prisoners, the same want of employment and of all disciplinary control",gt_native/LJ006-0044.wav,gt_indian/LJ006-0044.wav,spicor_full_no_slm/LJ006-0044.wav,nat_ind/LJ006-0044.wav
36,or witnesses who did not voluntarily come forward when the chance was given them,gt_native/LJ007-0111.wav,gt_indian/LJ007-0111.wav,spicor_full_no_slm/LJ007-0111.wav,nat_ind/LJ007-0111.wav
37,"to refer all communications on identified existing cases and, in addition",gt_native/LJ046-0139.wav,gt_indian/LJ046-0139.wav,spicor_full_no_slm/LJ046-0139.wav,nat_ind/LJ046-0139.wav
38,There is nothing novel or radical about this idea,gt_native/LJ024-0020.wav,gt_indian/LJ024-0020.wav,spicor_full_no_slm/LJ024-0020.wav,nat_ind/LJ024-0020.wav
39,"Later on, the Chartists agitated persistently for the concession embraced in the so-called People's Charter, many of which",gt_native/LJ010-0056.wav,gt_indian/LJ010-0056.wav,spicor_full_no_slm/LJ010-0056.wav,nat_ind/LJ010-0056.wav
40,"The rifle was shipped from Klein's in Chicago on March twenty, nineteen sixty-three, at a time when the Oswalds were living on Neely Street.",gt_native/LJ032-0234_rep.wav,gt_indian/LJ032-0234_rep.wav,spicor_full_no_slm/LJ032-0234_rep.wav,nat_ind/LJ032-0234_rep.wav
41,"and it was arranged that one of their number should knock at Lord Harrowby's door on the pretense of leaving a parcel,",gt_native/LJ010-0087_rep.wav,gt_indian/LJ010-0087_rep.wav,spicor_full_no_slm/LJ010-0087_rep.wav,nat_ind/LJ010-0087_rep.wav
42,X rays and photographs were taken preliminarily and the pathological examination began at about eight p m,gt_native/LJ031-0209_rep.wav,gt_indian/LJ031-0209_rep.wav,spicor_full_no_slm/LJ031-0209_rep.wav,nat_ind/LJ031-0209_rep.wav
43,"To meet his liabilities, he raised large sums on forged bills of acceptance drawn upon his mother, a woman of some means",gt_native/LJ017-0071_rep.wav,gt_indian/LJ017-0071_rep.wav,spicor_full_no_slm/LJ017-0071_rep.wav,nat_ind/LJ017-0071_rep.wav
44,he attempted for the first time to learn something about his family background when he went to New Orleans in April of nineteen sixty-three,gt_native/LJ043-0057_rep.wav,gt_indian/LJ043-0057_rep.wav,spicor_full_no_slm/LJ043-0057_rep.wav,nat_ind/LJ043-0057_rep.wav
45,through the instrumentality of the democratic form of government,gt_native/LJ022-0201_rep.wav,gt_indian/LJ022-0201_rep.wav,spicor_full_no_slm/LJ022-0201_rep.wav,nat_ind/LJ022-0201_rep.wav
46,"the condemned returning to the cells- the forger carried by turnkeys, the youth sobbing aloud convulsively, as a passionate child,",gt_native/LJ009-0111_rep.wav,gt_indian/LJ009-0111_rep.wav,spicor_full_no_slm/LJ009-0111_rep.wav,nat_ind/LJ009-0111_rep.wav
47,"Attacks upon the sovereign, as I have said, became more common after the accession of the young Queen Victoria in eighteen thirty eight",gt_native/LJ010-0146_rep.wav,gt_indian/LJ010-0146_rep.wav,spicor_full_no_slm/LJ010-0146_rep.wav,nat_ind/LJ010-0146_rep.wav
48,"two The female debtors' side consisted of a court yard forty nine by sixteen feet,",gt_native/LJ002-0048_rep.wav,gt_indian/LJ002-0048_rep.wav,spicor_full_no_slm/LJ002-0048_rep.wav,nat_ind/LJ002-0048_rep.wav
49,"The reckless demeanour of all the convicts except Davidson was most marked Thistlewood and Ings sucked oranges on the scaffold,",gt_native/LJ010-0127_rep.wav,gt_indian/LJ010-0127_rep.wav,spicor_full_no_slm/LJ010-0127_rep.wav,nat_ind/LJ010-0127_rep.wav
